City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Avarua,CK,2021-07-27 22:15:54,-21.2078,-159.775,77.05,65,99,4.61
59,Ribeira Grande,PT,2021-07-27 22:11:32,38.5167,-28.7,72.28,84,75,10.89
60,Hermanus,ZA,2021-07-27 22:15:54,-34.4187,19.2345,55.8,76,94,18.25
61,Saint-Pierre,RE,2021-07-27 22:15:54,-21.3393,55.4781,67.64,88,75,5.75
62,Poum,NC,2021-07-27 22:11:36,-20.2333,164.0167,70.14,63,2,10.71
63,Geraldton,AU,2021-07-27 22:11:08,-28.7667,114.6,61.12,87,40,1.14
64,Mar Del Plata,AR,2021-07-27 22:11:49,-38.0023,-57.5575,47.12,65,75,10.0
65,Quesnel,CA,2021-07-27 22:15:06,52.9999,-122.5029,77.94,31,52,4.23
66,Arona,ES,2021-07-27 22:15:55,28.0996,-16.681,67.82,72,40,19.57
67,Katangli,RU,2021-07-27 22:15:55,51.7102,143.2326,65.3,95,100,4.05
68,Arraial Do Cabo,BR,2021-07-27 22:11:45,-22.9661,-42.0278,72.68,77,0,17.18
69,Broome,US,2021-07-27 22:13:18,42.2506,-75.833,72.18,96,90,1.01
70,Pachperwa,IN,2021-07-27 22:15:56,27.5167,82.65,80.38,88,91,4.92
71,Trinidad,BO,2021-07-27 22:15:56,-14.8333,-64.9,69.78,52,75,16.11
72,Vardo,NO,2021-07-27 22:15:56,70.3705,31.1107,46.6,88,85,13.02
73,Bandar-E Lengeh,IR,2021-07-27 22:15:57,26.5579,54.8807,91.74,69,25,9.71
74,Kapaa,US,2021-07-27 22:15:57,22.0752,-159.319,84.52,75,90,3.0
75,San Quintin,MX,2021-07-27 22:15:57,30.4833,-115.95,75.88,66,1,13.42
76,Bokoro,TD,2021-07-27 22:15:58,12.3807,17.0568,74.84,86,100,7.11
77,Courtenay,CA,2021-07-27 22:15:58,49.6866,-124.9936,86.99,42,20,6.91
78,Dikson,RU,2021-07-27 22:15:58,73.5069,80.5464,40.24,100,100,16.35
79,Lata,PT,2021-07-27 22:11:22,40.1629,-8.3327,65.05,96,2,3.51
80,Cockburn Town,TC,2021-07-27 22:15:59,21.4612,-71.1419,84.16,70,40,13.8
81,Cape Town,ZA,2021-07-27 22:12:02,-33.9258,18.4232,55.09,81,83,3.0
82,Hilo,US,2021-07-27 22:15:01,19.7297,-155.09,80.33,74,90,9.22
83,Ponta Do Sol,PT,2021-07-27 22:15:59,32.6667,-17.1,73.13,68,8,6.2
84,Ust-Kulom,RU,2021-07-27 22:15:59,61.6864,53.6902,44.15,96,99,8.28
85,Hobart,AU,2021-07-27 22:16:00,-42.8794,147.3294,55.26,82,40,3.0
86,Cansancao,BR,2021-07-27 22:16:00,-10.6672,-39.4992,70.39,83,96,6.29
87,Honiara,SB,2021-07-27 22:15:15,-9.4333,159.95,81.73,79,73,8.21
88,Bluff,NZ,2021-07-27 22:16:01,-46.6,168.3333,49.8,70,17,15.57
89,Sinnamary,GF,2021-07-27 22:16:01,5.3833,-52.95,79.39,80,11,9.15
90,Vestmannaeyjar,IS,2021-07-27 22:16:01,63.4427,-20.2734,54.01,84,38,11.32
91,Bethel,US,2021-07-27 22:12:33,41.3712,-73.414,87.89,59,1,11.5
92,Zhangye,CN,2021-07-27 22:16:02,38.9342,100.4517,68.29,37,19,6.11
93,Erechim,BR,2021-07-27 22:16:02,-27.6342,-52.2739,42.84,68,7,10.22
94,Sao Filipe,CV,2021-07-27 22:16:02,14.8961,-24.4956,74.43,82,17,5.93
95,Talnakh,RU,2021-07-27 22:16:03,69.4865,88.3972,65.32,91,89,6.73
96,Akdepe,TM,2021-07-27 22:16:03,42.0551,59.3788,75.2,26,0,7.94
97,Saldanha,ZA,2021-07-27 22:16:03,-33.0117,17.9442,56.41,76,100,8.79
98,Krasnoarmeyskoye,RU,2021-07-27 22:16:04,52.7182,50.0322,62.4,67,34,6.42
99,Thompson,CA,2021-07-27 22:15:07,55.7435,-97.8558,83.52,27,100,15.17
100,Kaitangata,NZ,2021-07-27 22:16:04,-46.2817,169.8464,48.92,71,78,3.94
101,Puerto Ayora,EC,2021-07-27 22:11:26,-0.7393,-90.3518,73.76,71,12,11.79
102,Nikolskoye,RU,2021-07-27 22:12:23,59.7035,30.7861,69.4,62,89,5.03
103,Galesong,ID,2021-07-27 22:16:05,-5.3166,119.3661,68.02,68,33,5.57
104,Berlevag,NO,2021-07-27 22:11:48,70.8578,29.0864,46.72,89,78,8.01
105,Pangnirtung,CA,2021-07-27 22:16:05,66.1451,-65.7125,46.4,100,90,0.0
106,Comodoro Rivadavia,AR,2021-07-27 22:12:14,-45.8667,-67.5,44.46,61,0,2.3
107,Auki,SB,2021-07-27 22:16:06,-8.7676,160.7034,81.12,76,72,4.9
108,Spornoye,RU,2021-07-27 22:16:06,50.8448,37.2913,73.42,47,16,3.22
109,Moindou,NC,2021-07-27 22:16:06,-21.6924,165.677,66.15,60,0,4.12
110,Deyang,CN,2021-07-27 22:16:07,31.1302,104.382,71.98,81,6,1.68
111,Upernavik,GL,2021-07-27 22:16:07,72.7868,-56.1549,49.62,73,100,17.49
112,High Level,CA,2021-07-27 22:16:07,58.5169,-117.136,69.91,49,40,9.22
113,Bairiki,KI,2021-07-27 22:16:08,1.3292,172.9752,84.2,74,75,6.91
114,Yamada,JP,2021-07-27 22:16:08,39.4667,141.95,73.85,96,100,19.53
115,Pascagoula,US,2021-07-27 22:16:08,30.3658,-88.5561,92.41,62,1,9.22
116,Mount Isa,AU,2021-07-27 22:13:35,-20.7333,139.5,53.37,71,89,1.14
117,Saskylakh,RU,2021-07-27 22:16:09,71.9167,114.0833,55.69,64,18,17.0
118,Canton,CN,2021-07-27 22:16:09,23.1167,113.25,84.94,64,53,4.74
119,Wajir,KE,2021-07-27 22:16:09,1.7471,40.0573,74.37,58,45,18.01
120,Iqaluit,CA,2021-07-27 22:16:10,63.7506,-68.5145,53.33,54,90,15.01
121,Barrow,US,2021-07-27 22:16:10,71.2906,-156.7887,42.82,84,90,17.27
122,Hay River,CA,2021-07-27 22:16:10,60.8156,-115.7999,62.58,51,75,4.61
123,Methven,NZ,2021-07-27 22:16:11,-43.6333,171.65,47.91,76,0,6.22
124,Padang,ID,2021-07-27 22:12:31,-0.9492,100.3543,77.05,88,46,3.18
125,Amahai,ID,2021-07-27 22:16:11,-3.3333,128.9167,77.13,88,88,3.04
126,Pato-O,PH,2021-07-27 22:16:11,12.4306,122.0647,79.68,81,100,22.86
127,Minab,IR,2021-07-27 22:16:12,27.1467,57.0801,90.9,46,100,1.32
128,Gladstone,AU,2021-07-27 22:16:12,-23.85,151.25,61.79,77,98,5.75
129,Biu,NG,2021-07-27 22:16:12,10.6129,12.1946,68.34,87,100,6.53
130,Tooele,US,2021-07-27 22:16:13,40.5308,-112.2983,92.95,35,40,16.11
131,Zhanaozen,KZ,2021-07-27 22:16:13,43.3,52.8,76.42,32,90,20.76
132,Bilibino,RU,2021-07-27 22:16:13,68.0546,166.4372,40.89,87,100,2.35
133,Hami,CN,2021-07-27 22:16:13,42.8,93.45,85.17,18,1,7.54
134,Raga,SS,2021-07-27 22:16:14,8.4596,25.678,69.46,97,93,3.53
135,Fort Nelson,CA,2021-07-27 22:11:31,58.8053,-122.7002,62.19,67,75,11.5
136,Severo-Kurilsk,RU,2021-07-27 22:16:14,50.6789,156.125,57.52,96,100,4.88
137,Sawtell,AU,2021-07-27 22:16:15,-30.3833,153.1,55.42,76,5,5.75
138,Bela,IN,2021-07-27 22:16:15,25.9333,81.9833,81.14,88,99,9.91
139,Gizo,SB,2021-07-27 22:16:15,-8.103,156.8419,82.33,76,84,8.57
140,Kruisfontein,ZA,2021-07-27 22:16:15,-34.0033,24.7314,52.88,94,5,6.93
141,Kenai,US,2021-07-27 22:16:16,60.5544,-151.2583,69.03,77,20,16.11
142,Lompoc,US,2021-07-27 22:16:16,34.6391,-120.4579,85.21,71,75,13.8
143,Yatou,CN,2021-07-27 22:12:52,37.15,122.3833,77.09,84,95,5.3
144,Ferrol,ES,2021-07-27 22:16:17,43.4832,-8.2369,64.92,89,7,7.29
145,Opava,CZ,2021-07-27 22:16:17,49.9387,17.9026,73.85,92,94,2.21
146,Khatanga,RU,2021-07-27 22:16:17,71.9667,102.5,75.61,57,99,15.93
147,Souillac,MU,2021-07-27 22:16:18,-20.5167,57.5167,68.36,100,75,19.57
148,Guerrero Negro,MX,2021-07-27 22:12:02,27.9769,-114.0611,81.25,50,0,14.92
149,Sterling,US,2021-07-27 22:13:37,39.0062,-77.4286,95.52,35,20,3.0
150,Aklavik,CA,2021-07-27 22:11:54,68.2191,-135.0107,64.65,58,100,3.65
151,Srednekolymsk,RU,2021-07-27 22:16:18,67.45,153.6833,38.55,94,100,10.63
152,Doha,QA,2021-07-27 22:16:19,25.2867,51.5333,96.69,65,0,4.61
153,Charlottesville,US,2021-07-27 22:11:32,38.0293,-78.4767,97.92,46,20,1.01
154,Aasiaat,GL,2021-07-27 22:16:19,68.7098,-52.8699,44.44,79,100,0.16
155,Avera,US,2021-07-27 22:13:29,33.194,-82.5271,92.71,47,68,0.96
156,Nanortalik,GL,2021-07-27 22:16:19,60.1432,-45.2371,46.65,76,55,4.52
157,Rudnyy,KZ,2021-07-27 22:16:20,52.9594,63.1206,58.71,58,15,7.36
158,Jiaohe,CN,2021-07-27 22:16:20,43.7286,127.3447,74.97,82,9,1.03
159,Lorengau,PG,2021-07-27 22:16:20,-2.0226,147.2712,83.75,73,5,4.79
160,Puerto Colombia,CO,2021-07-27 22:16:21,10.9878,-74.9547,75.29,78,75,5.06
161,Guasdualito,VE,2021-07-27 22:16:21,7.2424,-70.7324,81.19,88,31,2.59
162,Leua,SK,2021-07-27 22:16:21,48.2156,18.6071,76.5,75,66,6.44
163,Flinders,AU,2021-07-27 22:16:22,-34.5833,150.8552,59.38,61,92,4.0
164,Shenjiamen,CN,2021-07-27 22:12:51,29.9576,122.298,78.26,94,100,15.39
165,Mitsamiouli,KM,2021-07-27 22:13:20,-11.3847,43.2844,75.78,71,13,5.82
166,Provideniya,RU,2021-07-27 22:16:22,64.3833,-173.3,50.11,87,90,13.42
167,Caravelas,BR,2021-07-27 22:16:23,-17.7125,-39.2481,72.97,83,3,9.86
168,Airai,TL,2021-07-27 22:16:23,-8.9266,125.4092,56.52,67,55,2.98
169,Yeppoon,AU,2021-07-27 22:16:23,-23.1333,150.7333,53.38,74,93,0.47
170,Xining,CN,2021-07-27 22:12:52,36.6167,101.7667,50.86,73,52,2.17
171,East London,ZA,2021-07-27 22:16:24,-33.0153,27.9116,73.11,26,0,10.04
172,Sangar,RU,2021-07-27 22:16:24,63.9242,127.4739,60.4,59,20,0.58
173,San Carlos De Bariloche,AR,2021-07-27 22:14:12,-41.1456,-71.3082,40.75,36,0,3.44
174,Mahebourg,MU,2021-07-27 22:16:24,-20.4081,57.7,68.25,100,75,19.57
175,Bengkulu,ID,2021-07-27 22:12:39,-3.8004,102.2655,72.9,74,47,5.01
176,Noyabrsk,RU,2021-07-27 22:13:10,63.1994,75.4507,54.19,91,91,6.62
177,Kazachinskoye,RU,2021-07-27 22:16:25,57.6953,93.2761,56.88,86,99,4.74
178,Udachnyy,RU,2021-07-27 22:12:24,66.4167,112.4,77.99,50,77,2.35
179,Lasa,IT,2021-07-27 22:16:25,46.6166,10.7002,63.86,95,95,3.85
180,Tasiilaq,GL,2021-07-27 22:16:26,65.6145,-37.6368,44.76,78,33,7.65
181,Tarakan,ID,2021-07-27 22:16:26,3.3,117.6333,81.9,83,20,6.91
182,Ostrovnoy,RU,2021-07-27 22:16:26,68.0531,39.5131,46.33,87,56,4.72
183,Bahia Blanca,AR,2021-07-27 22:15:01,-38.7196,-62.2724,45.63,57,99,17.09
184,Hofn,IS,2021-07-27 22:16:27,64.2539,-15.2082,54.14,83,93,4.47
185,Waipawa,NZ,2021-07-27 22:16:27,-41.4122,175.5153,49.03,77,0,2.33
186,Te Anau,NZ,2021-07-27 22:16:27,-45.4167,167.7167,45.59,88,15,2.95
187,Jieshi,CN,2021-07-27 22:16:28,22.8134,115.8257,84.94,81,74,13.04
188,Melipilla,CL,2021-07-27 22:16:28,-33.7,-71.2167,64.81,63,0,4.68
189,Leningradskiy,RU,2021-07-27 22:16:28,69.3833,178.4167,34.36,97,100,7.67
190,Pingliang,CN,2021-07-27 22:16:29,35.5392,106.6861,68.81,57,99,1.74
191,Tupiza,BO,2021-07-27 22:16:29,-21.45,-65.7167,55.54,14,0,29.42
192,Dingle,PH,2021-07-27 22:16:29,10.9995,122.6711,78.82,84,100,10.16
193,Umtata,ZA,2021-07-27 22:16:30,-31.5889,28.7844,57.76,28,0,10.36
194,Kieta,PG,2021-07-27 22:16:30,-6.2167,155.6333,81.28,78,98,1.97
195,Hamilton,US,2021-07-27 22:11:32,39.1834,-84.5333,91.0,50,1,1.01
196,Paoua,CF,2021-07-27 22:16:30,7.2427,16.4406,67.64,97,100,1.74
197,Bichena,ET,2021-07-27 22:16:31,10.45,38.2,53.4,92,100,5.55
198,Campoverde,PE,2021-07-27 22:16:31,-8.4753,-74.8058,89.29,50,84,1.52
199,Port Hardy,CA,2021-07-27 22:15:06,50.6996,-127.4199,61.95,70,47,8.12
200,Quelimane,MZ,2021-07-27 22:16:31,-17.8786,36.8883,63.43,90,29,4.41
201,Port Lincoln,AU,2021-07-27 22:16:32,-34.7333,135.8667,52.77,66,5,25.79
202,Beisfjord,NO,2021-07-27 22:16:32,68.3751,17.5988,60.26,75,0,0.54
203,Kryvyy Rih,UA,2021-07-27 22:16:33,47.9167,33.35,72.48,56,0,2.24
204,Fortuna,US,2021-07-27 22:16:33,40.5982,-124.1573,88.2,57,100,6.53
205,Ginir,ET,2021-07-27 22:16:33,7.1333,40.7,60.21,67,97,12.53
206,Taoudenni,ML,2021-07-27 22:11:50,22.6783,-3.9836,104.4,6,45,10.38
207,Mangrol,IN,2021-07-27 22:16:34,21.1167,70.1167,81.64,85,100,23.49
208,Ahipara,NZ,2021-07-27 22:16:34,-35.1667,173.1667,58.12,83,44,7.05
209,Norman Wells,CA,2021-07-27 22:16:34,65.282,-126.8329,69.84,56,75,8.05
210,Port Moresby,PG,2021-07-27 22:16:35,-9.4431,147.1797,77.22,88,81,7.2
211,Hualmay,PE,2021-07-27 22:16:35,-11.0964,-77.6139,66.47,78,34,9.82
212,Palladam,IN,2021-07-27 22:16:35,10.9833,77.3,72.57,85,99,17.69
213,Narsaq,GL,2021-07-27 22:16:36,60.9167,-46.05,50.22,68,57,5.88
214,Oranjemund,NA,2021-07-27 22:16:36,-28.55,16.4333,54.27,85,10,3.49
215,Tefe,BR,2021-07-27 22:16:36,-3.3542,-64.7114,87.91,62,20,4.61
216,Kavaratti,IN,2021-07-27 22:16:36,10.5669,72.642,81.43,79,100,20.54
217,Portland,US,2021-07-27 22:15:24,45.5234,-122.6762,90.9,40,40,1.99
218,Walvis Bay,NA,2021-07-27 22:16:37,-22.9575,14.5053,58.15,72,0,1.14
219,Miles City,US,2021-07-27 22:16:37,46.4083,-105.8406,108.52,12,1,5.75
220,Zyryanka,RU,2021-07-27 22:12:15,65.75,150.85,47.82,63,100,13.18
221,Marawi,PH,2021-07-27 22:16:38,7.9986,124.2928,69.66,86,100,6.53
