City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
486,Kavaratti,IN,82.4,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
489,Mucurapo,TT,79.25,few clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
490,Laguna,US,85.82,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
497,Jesus Carranza,MX,77.22,overcast clouds,17.4333,-95.0333,Departamento Doris
500,Kudahuvadhoo,MV,81.99,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
501,Urucara,BR,75.4,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
502,Novyy Svit,UA,79.34,broken clouds,47.8059,38.0211,Энергетик
504,Lazaro Cardenas,MX,80.49,few clouds,17.9583,-102.2,quinta antigua
505,Tahe,CN,75.22,clear sky,52.3333,124.7333,塔河宾馆
506,Balkhash,KZ,88.41,clear sky,46.844,74.9804,Family
512,Barguzin,RU,76.32,clear sky,53.6167,109.6167,"Gostevoy Dom S.barguzin ""Vizit"""
515,Iracoubo,GF,76.62,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
516,Gwadar,PK,82.65,overcast clouds,25.1216,62.3254,Sadaf Resort
521,Zaysan,KZ,83.32,clear sky,47.4667,84.8667,Ерлан үй
523,Fairbanks,US,75.2,few clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
526,Torbat-E Jam,IR,83.52,clear sky,35.244,60.6225,White building
527,Pokhara,NP,80.31,broken clouds,28.2333,83.9833,Butterfly Lodge
528,Banda Aceh,ID,84.61,overcast clouds,5.5577,95.3222,Sulthan Hotel International
532,Jalu,LY,82.02,clear sky,29.0331,21.5482,صاحبة الفخامة
533,Latehar,IN,84.34,broken clouds,23.75,84.5,Hotel Raj
538,Kavieng,PG,82.81,light rain,-2.5744,150.7967,Nusa Island Retreat
540,Cape Canaveral,US,82.45,overcast clouds,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
542,Parbatipur,BD,86.49,light rain,25.6649,88.9247,ARMAN Telecom
544,Pavlovka,RU,77.32,scattered clouds,52.6897,47.1405,Rus'
545,Gazanjyk,TM,89.04,clear sky,39.2446,55.5154,Railway motel
547,Fort Nelson,CA,78.39,smoke,58.8053,-122.7002,The Fort Nelson Hotel
548,Nhulunbuy,AU,84.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
555,Marawi,PH,84.92,broken clouds,7.9986,124.2928,Derogongan Residence
561,Russell,US,79.83,clear sky,32.3502,-85.1999,Macs
563,Portland,US,82.42,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
569,Port Said,EG,82.2,clear sky,31.2565,32.2841,Aracan Hotel
578,Balykshi,KZ,84.2,clear sky,47.0667,51.8667,Гостиница Golden Rose
579,Shimoda,JP,85.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
580,Aktau,KZ,88.38,clear sky,43.65,51.2,Silk Way Hotel
582,Mackay,AU,82.69,clear sky,-21.15,149.2,International Lodge Motel
583,Luwuk,ID,85.26,few clouds,-0.9516,122.7875,Hotel Santika Luwuk
584,Matara,LK,83.62,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
590,Cabacao,PH,84.15,broken clouds,13.3356,120.6588,La Preciosa Hijas Farm Resort
591,Nachalovo,RU,84.13,clear sky,46.338,48.2013,VILLA`RI
596,Buraydah,SA,82.85,clear sky,26.326,43.975,فندق راحة السلام
606,Palera,IN,76.95,overcast clouds,25.0167,79.2333,Gupta's house
607,Xichang,CN,79.21,clear sky,27.8964,102.2634,Xichang ibis Hotel
609,Hilton Head Island,US,80.65,clear sky,32.2163,-80.7526,Disney’s Hilton Head Island Resort
617,Jacqueville,CI,75.11,clear sky,5.2052,-4.4146,Hotel Le Martin Pecheur
620,Oktyabrskiy,RU,76.28,broken clouds,54.4815,53.471,Уязы-Тау гостиница
621,Bari Sadri,IN,79.14,moderate rain,24.4167,74.4667,Durga Auto and vishvkarma service badisadri rajasthan
622,Davila,PH,82.38,moderate rain,18.4726,120.5763,Blue Ridge Beach Resort
625,Nakamura,JP,87.3,overcast clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
626,Gariaband,IN,82.92,broken clouds,20.635,82.0614,हंसराज ट्रैक्टर
631,Kattivakkam,IN,89.69,overcast clouds,13.2167,80.3167,Euronova Freezer
632,Mana,GF,76.24,broken clouds,5.6592,-53.7767,LE SAMANA
635,New Bern,US,77.99,broken clouds,35.1085,-77.0441,Hampton Inn New Bern
637,Gudari,IN,86.79,broken clouds,19.35,83.7833,Hotel maa majhigouri
642,Meadow Lake,US,75.47,few clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
643,Methoni,GR,85.21,clear sky,36.8197,21.7049,Methoni Beach Hotel
644,Callaway,US,85.91,clear sky,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
650,Cockburn Town,TC,82.02,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
659,Sorong,ID,87.85,broken clouds,-0.8833,131.25,waigo splash hotel
660,Haapiti,PF,77.72,clear sky,-17.5667,-149.8667,Linareva Moorea Beach Resort
663,Amga,RU,80.22,overcast clouds,60.8953,131.9608,Algys
671,Eyl,SO,79.88,scattered clouds,7.9803,49.8164,Amiin Hotel
672,West Bay,KY,81.0,overcast clouds,19.3667,-81.4167,Calypso Cove
673,Montesarchio,IT,75.45,clear sky,41.0654,14.6402,La Vigna - Restaurant & Hotel
674,Korla,CN,82.0,broken clouds,41.7597,86.1469,Gulisitan Hotel
676,Alyangula,AU,84.07,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
685,Osmena,PH,84.79,broken clouds,10.5208,119.9258,Arjemarkyza Lodge
688,Praia,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
690,Ternate,ID,84.34,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
694,Magway,MM,83.12,overcast clouds,20.15,94.9167,Htein Htein Thar 2
