City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
675,Kaabong,UG,3.4836,34.1492,63.27,78,91,4.41,overcast clouds
676,Alyangula,AU,-13.8483,136.4192,84.07,74,75,8.05,broken clouds
677,Sovetskiy,RU,61.3614,63.5842,63.82,73,6,9.4,clear sky
678,Yaan,NG,7.3833,8.5667,71.33,95,99,3.31,overcast clouds
679,Aykino,RU,62.2248,49.9922,55.72,99,100,2.8,overcast clouds
680,Mugur-Aksy,RU,50.35,90.5,59.58,41,3,3.76,clear sky
681,Sidney,AU,-33.8679,151.2073,66.34,58,75,1.01,broken clouds
682,Booue,GA,-0.0921,11.9385,72.79,90,100,2.55,light rain
683,Henderson,US,36.0397,-114.9819,95.11,33,1,9.22,clear sky
684,Lagoa,PT,39.05,-27.9833,71.94,94,100,13.24,overcast clouds
685,Osmena,PH,10.5208,119.9258,84.79,73,71,12.97,broken clouds
686,Avera,US,33.194,-82.5271,82.71,79,19,6.02,few clouds
687,Garden City,US,42.3256,-83.331,62.89,81,1,11.5,clear sky
688,Praia,CV,14.9215,-23.5087,75.74,73,40,2.3,scattered clouds
689,Coxim,BR,-18.5067,-54.76,66.02,41,2,5.37,clear sky
690,Ternate,ID,0.8,127.4,84.34,71,87,8.86,overcast clouds
691,Sayyan,YE,15.1718,44.3244,62.24,65,100,3.58,overcast clouds
692,Inta,RU,66.0317,60.1659,53.87,90,89,10.63,overcast clouds
693,Wichita,US,37.6922,-97.3375,71.19,60,1,8.05,clear sky
694,Magway,MM,20.15,94.9167,83.12,77,100,12.55,overcast clouds
695,Dumai,ID,1.6833,101.45,91.02,51,65,2.98,broken clouds
696,Acari,PE,-15.4311,-74.6158,65.17,69,54,2.66,broken clouds
